ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
2-07-703,2026.09.21-11.35.52:759,ViewCameraComponent703_2,2,07,703,-7791.710,-1369.006,16280.000,0.000000,171.471037,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-07-701,2026.09.21-11.35.52:759,ViewCameraComponent701_1,2,07,701,-7564.604,-4330.654,16280.000,-0.000000,-99.496262,0.000000,70.0,-50.0,40.0,-90.0,231.0
2-07-702,2026.09.21-11.35.52:759,ViewCameraComponent702_1,2,07,702,-5184.848,-1661.265,16280.000,-0.000000,-14.071714,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-08-801,2026.09.21-11.35.52:770,ViewCameraComponent801_0,2,08,801,-8695.776,-2460.793,16680.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-08-801,2026.09.21-11.35.52:770,ViewCameraComponent801_1,2,08,801,-8258.219,-3798.711,16680.000,-0.000000,-85.548613,0.000000,50.0,-50.0,40.0,-90.0,261.0
2-08-801,2026.09.21-11.35.52:770,ViewCameraComponent801_2,2,08,801,-6963.404,-3859.939,16680.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-08-802,2026.09.21-11.35.52:770,ViewCameraComponent802_0,2,08,802,-6079.722,-2767.103,16680.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-08-802,2026.09.21-11.35.52:770,ViewCameraComponent802_2,2,08,802,-5680.164,-907.341,16680.000,0.000000,87.514448,-0.000000,50.0,-70.0,40.0,-90.0,51.0
2-08-803,2026.09.21-11.35.52:770,ViewCameraComponent803_0,2,08,803,-6411.714,-306.015,16680.000,0.000000,51.235929,-0.000000,50.0,-70.0,40.0,-90.0,51.0
2-08-803,2026.09.21-11.35.52:770,ViewCameraComponent803_1,2,08,803,-6630.461,-88.612,16680.000,0.000000,77.225140,-0.000000,70.0,-70.0,40.0,-90.0,86.0
